Wall time,Step,Value
1744751959.3622687,6254,0.022206062451004982
1744752061.5143735,12509,0.03408707305788994
1744752165.0759857,18764,0.020450014621019363
1744752267.4106379,25019,0.015401355922222137
1744752371.1508317,31274,0.020648442208766937
1744752474.0210745,37529,0.00743565009906888
1744752577.1885674,43784,0.014890505000948906
1744752681.9495595,50039,0.011371050029993057
1744752784.7615077,56294,0.0077723851427435875
1744752888.4827325,62549,0.008899075910449028
1744752991.460781,68804,0.006554519757628441
1744753091.0980868,75059,0.009035288356244564
1744753195.5222847,81314,0.006699954625219107
1744753295.4557893,87569,0.008988558314740658
1744753394.6043053,93824,0.007283697370439768
1744753493.9920714,100079,0.007143410388380289
1744753593.8480766,106334,0.0040880911983549595
1744753693.2563992,112589,0.003756643272936344
1744753796.3322928,118844,0.004065380897372961
1744753895.4045525,125099,0.0034909448586404324
1744753994.7281735,131354,0.0035067296121269464
1744754095.4117243,137609,0.00436506699770689
1744754194.9432352,143864,0.00421713013201952
1744754293.8968463,150119,0.004291854333132505
1744754393.3819904,156374,0.003679899265989661
1744754492.6880052,162629,0.0036216401495039463
1744754591.767391,168884,0.003704011905938387
